:START_ID(Coach-ID),:END_ID(Country-ID),:TYPE
1950509,USA,REPRESENTS
1950510,USA,REPRESENTS
1950515,USA,REPRESENTS
1950520,USA,REPRESENTS
1950521,USA,REPRESENTS
1951636,BRA,REPRESENTS
1951639,BRA,REPRESENTS
1952532,BRA,REPRESENTS
1953168,JPN,REPRESENTS
1953169,JPN,REPRESENTS
1953170,JPN,REPRESENTS
1953555,EGY,REPRESENTS
1953646,BRA,REPRESENTS
1953647,BRA,REPRESENTS
1953649,BRA,REPRESENTS
1953652,BRA,REPRESENTS
1953686,BRA,REPRESENTS
1953687,BRA,REPRESENTS
1953695,BRA,REPRESENTS
1953710,BRA,REPRESENTS
1953713,BRA,REPRESENTS
1954067,USA,REPRESENTS
1954068,USA,REPRESENTS
1954069,USA,REPRESENTS
1954409,BRA,REPRESENTS
1954411,BRA,REPRESENTS
1954413,BRA,REPRESENTS
1954426,BRA,REPRESENTS
1954481,USA,REPRESENTS
1954482,USA,REPRESENTS
1954483,USA,REPRESENTS
1954484,USA,REPRESENTS
1954499,USA,REPRESENTS
1954500,USA,REPRESENTS
1954501,USA,REPRESENTS
1954502,USA,REPRESENTS
1954503,USA,REPRESENTS
1954505,USA,REPRESENTS
1954672,FIJ,REPRESENTS
1955000,BRA,REPRESENTS
1955021,BRA,REPRESENTS
1955060,BRA,REPRESENTS
1955820,BRA,REPRESENTS
1955822,BRA,REPRESENTS
1955881,FIJ,REPRESENTS
1955954,AUS,REPRESENTS
1955958,AUS,REPRESENTS
1956101,TLS,REPRESENTS
1956202,ISR,REPRESENTS
1956206,ISR,REPRESENTS
1956383,SRB,REPRESENTS
1956384,SRB,REPRESENTS
1956385,SRB,REPRESENTS
1956422,ISR,REPRESENTS
1956472,SRB,REPRESENTS
1956473,SRB,REPRESENTS
1956476,SRB,REPRESENTS
1956655,IRL,REPRESENTS
1956699,IRL,REPRESENTS
1956722,MKD,REPRESENTS
1957027,EGY,REPRESENTS
1957190,ESP,REPRESENTS
1957191,ESP,REPRESENTS
1957192,ESP,REPRESENTS
1957193,ESP,REPRESENTS
1957222,ESP,REPRESENTS
1957223,ESP,REPRESENTS
1957224,ESP,REPRESENTS
1957225,ESP,REPRESENTS
1957226,ESP,REPRESENTS
1957227,ESP,REPRESENTS
1957429,HUN,REPRESENTS
1957645,ITA,REPRESENTS
1957768,ITA,REPRESENTS
1958557,LAO,REPRESENTS
1958748,ESP,REPRESENTS
1958749,ESP,REPRESENTS
1958751,ESP,REPRESENTS
1958752,ESP,REPRESENTS
1958754,ESP,REPRESENTS
1958756,ESP,REPRESENTS
1958758,ESP,REPRESENTS
1958760,ESP,REPRESENTS
1958761,ESP,REPRESENTS
1958763,ESP,REPRESENTS
1958764,ESP,REPRESENTS
1959349,USA,REPRESENTS
1959353,USA,REPRESENTS
1959368,USA,REPRESENTS
1959369,USA,REPRESENTS
1959382,USA,REPRESENTS
1959384,USA,REPRESENTS
1959395,USA,REPRESENTS
1959400,USA,REPRESENTS
