:START_ID(Coach-ID),:END_ID(Team-ID),:TYPE
1908678,FENMTEAMFOILCHN01,COACHES
1908678,FENWTEAMFOILCHN01,COACHES
1908689,VVOWTEAM6---DOM01,COACHES
1908691,FENWTEAMEPEECHN01,COACHES
1908773,RU7MTEAM7---JPN01,COACHES
1908776,RU7WTEAM7---JPN01,COACHES
1908788,RU7MTEAM7---JPN01,COACHES
1908791,RU7WTEAM7---JPN01,COACHES
1908795,RU7WTEAM7---JPN01,COACHES
1908796,RU7WTEAM7---JPN01,COACHES
1908797,RU7WTEAM7---JPN01,COACHES
1908798,RU7MTEAM7---JPN01,COACHES
1908800,RU7MTEAM7---JPN01,COACHES
1908801,RU7MTEAM7---JPN01,COACHES
1908802,RU7MTEAM7---JPN01,COACHES
1908804,RU7WTEAM7---JPN01,COACHES
1908805,VVOWTEAM6---DOM01,COACHES
1908808,VVOWTEAM6---DOM01,COACHES
1908814,VVOWTEAM6---DOM01,COACHES
1908861,SWAWTEAM2---CHN01,COACHES
1908861,SWAWTEAM8---CHN01,COACHES
1908862,SWAWTEAM2---CHN01,COACHES
1908865,SWAWTEAM8---CHN01,COACHES
1909734,VVOMTEAM6---EGY01,COACHES
1909742,VVOMTEAM6---EGY01,COACHES
1909843,VVOMTEAM6---EGY01,COACHES
1909887,VVOMTEAM6---EGY01,COACHES
1909923,VVOMTEAM6---EGY01,COACHES
1910307,VVOMTEAM6---EGY01,COACHES
1911256,HBLWTEAM7---ANG01,COACHES
1912238,HBLWTEAM7---ANG01,COACHES
1913681,VVOWTEAM6---CHN01,COACHES
1913682,VVOWTEAM6---CHN01,COACHES
1913683,VVOWTEAM6---CHN01,COACHES
1913686,VVOWTEAM6---CHN01,COACHES
1913690,VVOWTEAM6---CHN01,COACHES
1913692,VVOWTEAM6---CHN01,COACHES
1914528,FENMTEAMEPEECZE01,COACHES
1914548,FENMTEAMEPEECZE01,COACHES
1914550,FENMTEAMEPEECZE01,COACHES
1915796,WPOMTEAM7---CRO01,COACHES
1915797,WPOMTEAM7---CRO01,COACHES
1915807,WPOMTEAM7---CRO01,COACHES
1915986,RU7WTEAM7---FRA01,COACHES
1915987,RU7WTEAM7---FRA01,COACHES
1915988,RU7WTEAM7---FRA01,COACHES
1915989,RU7WTEAM7---FRA01,COACHES
1915990,RU7WTEAM7---FRA01,COACHES
1915991,RU7WTEAM7---FRA01,COACHES
1916242,FENMTEAMSABRFRA01,COACHES
1916244,FENMTEAMEPEEFRA01,COACHES
1916244,FENMTEAMFOILFRA01,COACHES
1916244,FENMTEAMSABRFRA01,COACHES
1916244,FENWTEAMEPEEFRA01,COACHES
1916244,FENWTEAMFOILFRA01,COACHES
1916244,FENWTEAMSABRFRA01,COACHES
1916254,FENMTEAMEPEEFRA01,COACHES
1916254,FENWTEAMEPEEFRA01,COACHES
1916255,FENWTEAMEPEEFRA01,COACHES
1916257,FENMTEAMEPEEFRA01,COACHES
1916258,FENWTEAMFOILFRA01,COACHES
1916259,FENWTEAMFOILFRA01,COACHES
1916263,FENMTEAMFOILFRA01,COACHES
1916264,FENMTEAMFOILFRA01,COACHES
1916265,FENWTEAMSABRFRA01,COACHES
1916266,FENWTEAMSABRFRA01,COACHES
1916268,FENMTEAMSABRFRA01,COACHES
1917115,FBLMTEAM11--MLI01,COACHES
1917164,FBLMTEAM11--MLI01,COACHES
1917718,VVOWTEAM6---USA01,COACHES
1917720,VVOWTEAM6---USA01,COACHES
1917721,VVOWTEAM6---USA01,COACHES
1917722,VVOWTEAM6---USA01,COACHES
1917723,VVOWTEAM6---USA01,COACHES
1917725,VVOWTEAM6---USA01,COACHES
1917727,VVOWTEAM6---USA01,COACHES
1917731,VVOWTEAM6---USA01,COACHES
1917868,VVOWTEAM6---USA01,COACHES
1918015,VVOMTEAM6---USA01,COACHES
1918016,VVOMTEAM6---USA01,COACHES
1918018,VVOMTEAM6---USA01,COACHES
1918019,VVOMTEAM6---USA01,COACHES
1918020,VVOMTEAM6---USA01,COACHES
1918022,VVOMTEAM6---USA01,COACHES
1918022,VVOWTEAM6---USA01,COACHES
1918024,VVOMTEAM6---USA01,COACHES
1918025,VVOMTEAM6---USA01,COACHES
1918026,VVOMTEAM6---USA01,COACHES
1918532,VVOWTEAM6---JPN01,COACHES
1918536,VVOWTEAM6---JPN01,COACHES
1918541,VVOWTEAM6---JPN01,COACHES
1918543,VVOWTEAM6---JPN01,COACHES
1918553,VVOMTEAM6---JPN01,COACHES
1918556,VVOMTEAM6---JPN01,COACHES
1918558,VVOMTEAM6---JPN01,COACHES
1918560,VVOMTEAM6---JPN01,COACHES
1918568,VVOMTEAM6---JPN01,COACHES
1918569,VVOMTEAM6---JPN01,COACHES
1918570,VVOMTEAM6---JPN01,COACHES
1918571,VVOWTEAM6---JPN01,COACHES
1918572,VVOWTEAM6---JPN01,COACHES
1918573,VVOWTEAM6---JPN01,COACHES
1921141,VVOMTEAM6---ITA01,COACHES
1921142,VVOMTEAM6---ITA01,COACHES
1921143,VVOMTEAM6---ITA01,COACHES
1921147,VVOMTEAM6---ITA01,COACHES
1921148,VVOWTEAM6---ITA01,COACHES
1921149,VVOWTEAM6---ITA01,COACHES
1921150,VVOWTEAM6---ITA01,COACHES
1921151,VVOWTEAM6---ITA01,COACHES
1921182,VVOMTEAM6---ITA01,COACHES
1921186,VVOMTEAM6---ITA01,COACHES
1921187,VVOMTEAM6---ITA01,COACHES
1921189,VVOWTEAM6---ITA01,COACHES
1921191,VVOWTEAM6---ITA01,COACHES
1921192,VVOWTEAM6---ITA01,COACHES
1921193,VVOWTEAM6---ITA01,COACHES
1922377,VVOMTEAM6---ITA01,COACHES
1922381,VVOWTEAM6---ITA01,COACHES
1922670,HOCWTEAM11--BEL01,COACHES
1922671,HOCMTEAM11--BEL01,COACHES
1922672,HOCWTEAM11--BEL01,COACHES
1922673,HOCWTEAM11--BEL01,COACHES
1923811,HOCMTEAM11--GBR01,COACHES
1923811,HOCWTEAM11--GBR01,COACHES
1924214,FENMTEAMFOILITA01,COACHES
1924214,FENWTEAMFOILITA01,COACHES
1924215,FENMTEAMSABRITA01,COACHES
1924215,FENWTEAMSABRITA01,COACHES
1924216,FENMTEAMFOILITA01,COACHES
1924217,FENWTEAMFOILITA01,COACHES
1924221,FENWTEAMEPEEITA01,COACHES
1924222,FENMTEAMEPEEITA01,COACHES
1924225,FENWTEAMSABRITA01,COACHES
1924227,FENMTEAMSABRITA01,COACHES
1924246,FENMTEAMFOILITA01,COACHES
1924246,FENMTEAMSABRITA01,COACHES
