:START_ID(Official-ID),:END_ID(Country-ID),:TYPE
2872023,MAR,REPRESENTS
2872035,IRI,REPRESENTS
2872046,ALG,REPRESENTS
2872050,MGL,REPRESENTS
2872818,IRI,REPRESENTS
2973422,USA,REPRESENTS
3002003,RSA,REPRESENTS
3047340,MNE,REPRESENTS
3047342,ALG,REPRESENTS
3047343,ALG,REPRESENTS
3047344,ARG,REPRESENTS
3047345,ARG,REPRESENTS
3047346,BIH,REPRESENTS
3047347,BIH,REPRESENTS
3047348,CZE,REPRESENTS
3047349,CZE,REPRESENTS
3047350,DEN,REPRESENTS
3047351,DEN,REPRESENTS
3047352,ESP,REPRESENTS
3047353,ESP,REPRESENTS
3047354,FRA,REPRESENTS
3047355,FRA,REPRESENTS
3047356,GER,REPRESENTS
3047357,GER,REPRESENTS
3047358,GER,REPRESENTS
3047359,GER,REPRESENTS
3047360,HUN,REPRESENTS
3047361,HUN,REPRESENTS
3047362,MKD,REPRESENTS
3047363,MKD,REPRESENTS
3047364,MNE,REPRESENTS
3047365,NOR,REPRESENTS
3047366,SLO,REPRESENTS
3047367,SLO,REPRESENTS
3047368,SUI,REPRESENTS
3047369,SWE,REPRESENTS
3060392,SLO,REPRESENTS
3060402,SLO,REPRESENTS
3060403,JPN,REPRESENTS
3060404,JPN,REPRESENTS
3060405,JPN,REPRESENTS
3060406,HUN,REPRESENTS
3060407,SLO,REPRESENTS
3060408,SLO,REPRESENTS
3060409,SLO,REPRESENTS
3060410,HUN,REPRESENTS
3060411,SLO,REPRESENTS
3060412,HUN,REPRESENTS
3062446,USA,REPRESENTS
3521177,GBR,REPRESENTS
4193219,CHN,REPRESENTS
4652045,FRA,REPRESENTS
4654138,GER,REPRESENTS
