coach_code:ID(Coach-ID),name,gender,function,category,country_code,country
1899062,SIEBEN Craig,Male,Coach,C,GBR,Great Britain
1899085,GRESKOWIAK Arne,Male,Coach,C,GER,Germany
1899175,HOLGUIN Ramon,Male,Coach,C,DOM,Dominican Republic
1899285,WUDTKE Erik,Male,Assistant Coach,C,GER,Germany
1899286,BEPPLER Jochen,Male,Assistant Coach,C,GER,Germany
1899289,ANDERSSON Mattias,Male,Assistant Coach,C,GER,Germany
1899294,GISLASON Alfred,Male,Head Coach,C,GER,Germany
1899296,GAUGISCH Markus,Male,Head Coach,C,GER,Germany
1899298,JANKOVIC Jasmina,Female,Assistant Coach,C,GER,Germany
1900728,HENRY Thierry,Male,Head Coach,C,FRA,France
1900729,BATICLE Gerald,Male,Assistant Coach,C,FRA,France
1900730,CLICHY Gael,Male,Assistant Coach,C,FRA,France
1900731,JANOT Jeremie,Male,Goalkeeper Coach,C,FRA,France
1901253,PEREIRA BRAVO Joao,Male,Assistant Coach,C,CAN,Canada
1901258,SAMMELVUO Tuomas,Male,Head Coach,C,CAN,Canada
1901261,HAWKINS Michael,Male,Assistant Coach,C,CAN,Canada
1901805,ZHENG Wei,Female,Coach,C,CHN,China
1901806,JIA Nan,Male,Coach,C,CHN,China
1901810,PARK Myungsoo,Male,Assistant Coach,C,CHN,China
1901818,RUPEREZ Cesar,Male,Assistant Coach,C,CHN,China
1901832,USUI Tomohiro,Male,Coach,C,JPN,Japan
1901835,KONNO Kakeru,Male,Assistant Coach,C,JPN,Japan
1901836,SUZUKI Yoshikazu,Male,Assistant Coach,C,JPN,Japan
1901839,ONZUKA Toru,Male,Coach,C,JPN,Japan
1901846,SASSA Norio,Male,Coach,C,JPN,Japan
1901849,GAINES Corey,Male,Assistant Coach,C,JPN,Japan
1901850,HOVASSE Tom,Male,Coach,C,JPN,Japan
1901851,KATSUHISA Geoffrey,Male,Assistant Coach,C,JPN,Japan
1902695,CHOI Chatchai,Male,Coach,C,THA,Thailand
1902795,SONKHAM Chanatip,Female,Coach,C,THA,Thailand
1902914,RUSEK Pawel,Male,Assistant Coach,C,POL,Poland
1902918,GRBIC Nikola,Male,Head Coach,C,POL,Poland
1902919,SWACZYNA Adam,Male,Assistant Coach,C,POL,Poland
1903371,MATOSEVIC Valter,Male,Assistant Coach,C,CRO,Croatia
1903379,SIGURDSSON Dagur,Male,Head Coach,C,CRO,Croatia
1903381,SPOLJARIC Denis,Male,Assistant Coach,C,CRO,Croatia
1903569,DUPUIS Kevin,Male,Coach,C,FRA,France
1903570,GEORGE Martine,Female,Coach,C,FRA,France
1903575,POTAPENKO Valentin,Male,Coach,C,FRA,France
1903577,HAGARD Monique,Female,Coach,C,FRA,France
1903584,BARANOVA VOLCHETSKAYA Anna,Female,Coach,C,FRA,France
1903585,BAYON Sara,Female,Coach,C,FRA,France
1903590,GUILLIERE Katia,Female,Coach,C,FRA,France
1903594,MILAN Gregory,Male,Coach,C,FRA,France
1903707,ABDELFATTAH Aziza,Female,Coach,C,EGY,Egypt
1903722,MOHAMED Mai,Female,Coach,C,EGY,Egypt
1903754,LATIF Yasmine,Female,Coach,C,EGY,Egypt
1903771,FABRE Julie,Female,Coach,C,FRA,France
1903772,OBRY Laure,Female,Coach,C,FRA,France
1903773,ANNEQUIN Marie,Female,Coach,C,FRA,France
1903829,ANGILLIS Pascal,Male,Assistant Coach,C,BEL,Belgium
1903832,KAISER Pierre-Yves,Male,Coach,C,BEL,Belgium
1903833,LORENT Jill,Female,Assistant Coach,C,BEL,Belgium
1903888,de SCHEPPER Bram,Male,Coach,C,BEL,Belgium
1903889,DECKX Stefan,Male,Coach,C,BEL,Belgium
1903900,RECKINGER Xavier,Male,Assistant Coach,C,BEL,Belgium
1904214,JEONG Eul Jin,Male,Coach,C,KOR,Korea
1904215,KANG Bo Hyeon,Female,Coach,C,KOR,Korea
1904220,LEE Dongchul,Male,Coach,C,KOR,Korea
1904221,OH Hyeri,Female,Coach,C,KOR,Korea
1904223,SON Hyo Bong,Male,Coach,C,KOR,Korea
1904759,BEAGLEY Michael,Male,Coach,C,GBR,Great Britain
1904761,CLAY Jenny,Female,Coach,C,GBR,Great Britain
1904762,COLLIE Barry,Male,Coach,C,GBR,Great Britain
1904765,HALL Paul,Male,Coach,C,GBR,Great Britain
1904766,HANN Scott,Male,Coach,C,GBR,Great Britain
1904767,HOWELLS Ben,Male,Coach,C,GBR,Great Britain
1904768,INCE Brett,Male,Coach,C,GBR,Great Britain
1904769,KENWRIGHT David,Male,Coach,C,GBR,Great Britain
1904771,RICHARDSON Joshua,Male,Coach,C,GBR,Great Britain
1904772,RICHARDSON Molly,Female,Coach,C,GBR,Great Britain
1904775,TRANDABURU Ionut,Male,Coach,C,GBR,Great Britain
1904996,JANKOVSKY Viktor,Male,Coach,C,CZE,Czechia
1904998,ZHEREBCHEVSKYI Anton,Male,Coach,C,CZE,Czechia
1904999,HYBRANT Bohuslav,Male,Coach,C,CZE,Czechia
1906041,FOULARD Gael,Male,Head Coach,C,FRA,France
1906042,JAQUET Nicolas,Male,Assistant Coach,C,FRA,France
1906448,LORANTOS Theodoros,Male,Head Coach,C,FRA,France
1906454,DERENTY Lorene,Female,Assistant Coach,C,FRA,France
1906462,BRUZZO Florian,Male,Head Coach,C,FRA,France
1906468,KOBESCAK Vjekoslav,Male,Assistant Coach,C,FRA,France
1908234,MENDEZ Marcelo,Male,Head Coach,C,ARG,Argentina
1908241,LOPEZ Martin,Male,Assistant Coach,C,ARG,Argentina
1908245,RICO GOLBA Pablo,Male,Assistant Coach,C,ARG,Argentina
1908299,ALVAREZ Jorge,Male,Coach,C,ARG,Argentina
1908401,ARROYO Gavin,Male,Assistant Coach,C,USA,United States
1908402,UDOVICIC Dejan,Male,Head Coach,C,USA,United States
1908403,USTASZEWSKI Matt,Male,Assistant Coach,C,USA,United States
1908408,CAHILL Molly,Female,Assistant Coach,C,USA,United States
1908409,KRIKORIAN Adam,Male,Head Coach,C,USA,United States
1908410,OEDING Chris,Male,Assistant Coach,C,USA,United States
1908549,AMADOU Soumaila,Male,Coach,C,NIG,Niger
1908649,KWIEK Marcos,Male,Head Coach,C,DOM,Dominican Republic
1908654,ROCHA PACHECO Wagner,Male,Assistant Coach,C,DOM,Dominican Republic
1908776,YAMAMOTO Hayato,Male,Assistant Coach,C,JPN,Japan
1908788,AMOR Simon Daniel Edward,Male,Head Coach,C,JPN,Japan
1908796,SUZUKI Takashi,Male,Head Coach,C,JPN,Japan
1908800,SAKATA Takahiro,Male,Assistant Coach,C,JPN,Japan
1908801,UMEDA Koichi,Male,Assistant Coach,C,JPN,Japan
1908804,KANEMATSU Yuka,Female,Assistant Coach,C,JPN,Japan
1908808,SANCHEZ DURAN Wilson,Male,Assistant Coach,C,DOM,Dominican Republic
1908861,ZHANG Xiaohuan,Female,Coach,C,CHN,China
1908862,WANG Jiuli,Female,Coach,C,CHN,China
1908863,HE Xiaochu,Female,Coach,C,CHN,China
1908864,SHEN Yingsha,Female,Coach,C,CHN,China
1908865,TARRES CAMPA Ana,Female,Coach,C,CHN,China
1908866,ZHAO Dantong,Female,Coach,C,CHN,China
1909191,BUGDAEV Kurban,Male,Coach,C,KSA,Saudi Arabia
1909799,ASMOLOV Natalia,Female,Coach,C,ISR,Israel
1909813,MAYRIN Ida,Female,Coach,C,ISR,Israel
1909827,SZUCS Krisztian,Male,Coach,C,HUN,Hungary
1909847,STSIAPANAVA Natalia,Female,Coach,C,ISR,Israel
1909857,VAISBURG Sergei,Male,Coach,C,ISR,Israel
1909866,KLEFNER BEN SHIMOL Moran,Female,Coach,C,ISR,Israel
1909923,ELNAFRAWY Mohamed,Male,Assistant Coach,C,EGY,Egypt
1909939,BEN JABALLAH Maaouia,Male,Coach,C,TUN,Tunisia
1910378,GUAN Jianmin,Male,Coach,C,CHN,China
1910380,KIM Young Jin,Male,Coach,C,CHN,China
1910382,KONG Fantao,Female,Coach,C,CHN,China
1910489,ZUSSMAN Ayelet,Female,Coach,C,ISR,Israel
1910511,SAMOFALOV Ela,Female,Coach,C,ISR,Israel
1911256,ARZA Carlos Vivier,Male,Head Coach,C,ANG,Angola
1912238,CATITO Nelson,Male,Assistant Coach,C,ANG,Angola
1913681,CAI Bin,Male,Head Coach,C,CHN,China
1913682,LI Yanlong,Male,Assistant Coach,C,CHN,China
1913683,YUAN Zhi,Male,Assistant Coach,C,CHN,China
1914566,HYTTEL Tobias,Male,Coach,C,DEN,Denmark
1914822,SETTA Tarik,Male,Coach,C,DEN,Denmark
1914903,ACHARKI Aziz,Male,Coach,C,DEN,Denmark
1915796,TUCAK Ivica,Male,Head Coach,C,CRO,Croatia
1915797,POSINKOVIC Renco,Male,Assistant Coach,C,CRO,Croatia
1915807,MARELJA Jure,Male,Assistant Coach,C,CRO,Croatia
1915986,COURTEIX David,Male,Head Coach,C,FRA,France
1915987,IGARZA Germain,Male,Assistant Coach,C,FRA,France
1917115,COULIBALY Abdoulaye,Male,Assistant Coach,C,MLI,Mali
1917164,DIALLO Badara Alou,Male,Head Coach,C,MLI,Mali
1917720,DUNPHY Marv,Male,2nd Assistant Coach,C,USA,United States
1917721,KIRALY Karch,Male,Head Coach,C,USA,United States
1917722,MIYASHIRO Tama,Female,Assistant Coach,C,USA,United States
1917723,REFT Alfee,Male,Assistant Coach,C,USA,United States
1917725,VIRTUE Erin,Female,Assistant Coach,C,USA,United States
1917858,BROWN Gareth,Male,Coach,C,USA,United States
1918016,FUERBRINGER Matt,Male,Assistant Coach,C,USA,United States
1918018,SPERAW John,Male,Head Coach,C,USA,United States
1918019,WEBER Javi,Male,Assistant Coach,C,USA,United States
1918026,WALL Mike,Male,Assistant Coach,C,USA,United States
1918543,TOKUMOTO Yukito,Male,Assistant Coach,C,JPN,Japan
1918556,BLAIN Philippe,Male,Head Coach,C,JPN,Japan
1918560,FUKATSU Takayuki,Male,Assistant Coach,C,JPN,Japan
1918568,ITOH Kenji,Male,Assistant Coach,C,JPN,Japan
1918571,MANABE Masayoshi,Male,Head Coach,C,JPN,Japan
